signal_family,method_id,method_family,row_count,negative_row_count,false_context_rate_on_negative,abstention_rate,gate_pass_rate
receiver_state_conditioned,expression_only_linear,expression_only_or_center_only,12,0,0.0,0.0,0.0
receiver_state_conditioned,ligand_receptor_pathway_heuristic,ligand_receptor_or_pathway_heuristic,12,0,0.0,0.0,1.0
receiver_state_conditioned,lightweight_graphsage_aggregation,gnn_style_context_aggregation,12,0,0.0,0.0,1.0
receiver_state_conditioned,random_neighbor_control_model,wrong_context_random_neighbor,12,0,0.0,0.0,0.0
receiver_state_conditioned,spatial_statistics_heuristic,spatial_statistics_heuristic,12,0,0.0,0.0,1.0
threshold_gated,always_true_neighbor_mean,always_true_neighbor_context,12,0,0.0,0.0,1.0
threshold_gated,cellpack_packed_context_tiny,cellpack_packed_context,12,0,0.0,0.0,1.0
threshold_gated,contextgate_transparent_router,contextgate_transparent_router,12,0,0.0,0.0,1.0
threshold_gated,coordinate_shuffled_control_model,wrong_context_coordinate_shuffled,12,0,0.0,0.0,0.0
threshold_gated,distant_neighbor_control_model,wrong_context_distant_neighbor,12,0,0.0,0.0,0.0
threshold_gated,expression_only_linear,expression_only_or_center_only,12,0,0.0,0.0,0.0
threshold_gated,ligand_receptor_pathway_heuristic,ligand_receptor_or_pathway_heuristic,12,0,0.0,0.0,1.0
threshold_gated,lightweight_graphsage_aggregation,gnn_style_context_aggregation,12,0,0.0,0.0,1.0
threshold_gated,random_neighbor_control_model,wrong_context_random_neighbor,12,0,0.0,0.0,0.0
threshold_gated,spatial_statistics_heuristic,spatial_statistics_heuristic,12,0,0.0,0.4166666666666667,0.5833333333333334
