Dataset,Task,Platform,Dataset role,Samples,Donors,Panel genes,Panel-depth group,Completed q1 jobs,Skipped q1 jobs,Full-tier metric rows,Methods,Controls,Splits,Seeds,Mean prediction error,Mean residual delta,Mean regret,Mean FCR,Mean no-harm,Mean abstention,Route decisions,Expression-only decisions,Abstain decisions,Positive-control-only decisions,Context-allowed decisions,Decision source tables,Context-utility rows,Mean context-utility score,Max context-utility score,High-score context-utility rows,Context evidence classes
Xenium breast 5K,ligand receptor recovery,Xenium,Included,1,1,9475,">=5,000 genes",28,14,420,7,2,3,3,0.654,-0.374,0.654,0.2337,0.76,0.1876,0,0,0,0,0,,5,0.15,0.7,1,"insufficient_evidence, negative_context, positive_control_only"
Xenium breast biomarkers,ligand receptor recovery,Xenium,Included,12,12,542,"<1,100 genes",42,0,630,7,2,3,3,0.6545,-0.3745,0.6545,0.2337,0.76,0.1876,0,0,0,0,0,,3,0.0,0.0,0,negative_context
CosMx BCC 6K,masked gene reconstruction,CosMx,Included,8,4,6195,">=5,000 genes",42,0,630,7,2,3,3,0.5501,-0.2701,0.5501,0.2337,0.76,0.1876,0,0,0,0,0,,4,0.05,0.1,0,"coverage_only, negative_context"
CosMx NSCLC,masked gene reconstruction,CosMx,Included,1,1,980,"<1,100 genes",28,14,420,7,2,3,3,0.553,-0.273,0.553,0.2337,0.76,0.1876,0,0,0,0,0,,2,0.1,0.1,0,coverage_only
CosMx PDAC 1K,masked gene reconstruction,CosMx,Included,8,8,1000,"<1,100 genes",42,0,630,7,2,3,3,0.5505,-0.2705,0.5505,0.2337,0.76,0.1876,0,0,0,0,0,,3,0.1167,0.35,0,"localized_exploratory, negative_context"
CosMx PDAC metastasis,masked gene reconstruction,CosMx,Included,7,3,1010,"<1,100 genes",42,0,630,7,2,3,3,0.5522,-0.2722,0.5522,0.2337,0.76,0.1876,0,0,0,0,0,,6,0.225,0.35,0,"borderline_preflight, localized_exploratory, negative_context"
Xenium breast 5K,masked gene reconstruction,Xenium,Included,1,1,9475,">=5,000 genes",28,14,420,7,2,3,3,0.5518,-0.2718,0.5518,0.2337,0.76,0.1876,0,0,0,0,0,,5,0.15,0.7,1,"insufficient_evidence, negative_context, positive_control_only"
Xenium breast biomarkers,masked gene reconstruction,Xenium,Included,12,12,542,"<1,100 genes",42,0,630,7,2,3,3,0.5501,-0.2701,0.5501,0.2337,0.76,0.1876,0,0,0,0,0,,3,0.0,0.0,0,negative_context
CosMx BCC 6K,positive null control ladder,CosMx,Included,8,4,6195,">=5,000 genes",42,0,630,7,2,3,3,0.6,-0.32,0.6,0.5371,0.4623,0.119,0,0,0,0,0,,4,0.05,0.1,0,"coverage_only, negative_context"
CosMx NSCLC,positive null control ladder,CosMx,Included,1,1,980,"<1,100 genes",28,14,420,7,2,3,3,0.6024,-0.3224,0.6024,0.5371,0.4623,0.119,0,0,0,0,0,,2,0.1,0.1,0,coverage_only
CosMx PDAC 1K,positive null control ladder,CosMx,Included,8,8,1000,"<1,100 genes",42,0,630,7,2,3,3,0.6009,-0.3209,0.6009,0.5371,0.4623,0.119,36,6,12,18,0,positive_control_ladder,3,0.1167,0.35,0,"localized_exploratory, negative_context"
CosMx PDAC metastasis,positive null control ladder,CosMx,Included,7,3,1010,"<1,100 genes",42,0,630,7,2,3,3,0.6045,-0.3245,0.6045,0.5371,0.4623,0.119,0,0,0,0,0,,6,0.225,0.35,0,"borderline_preflight, localized_exploratory, negative_context"
Xenium breast 5K,positive null control ladder,Xenium,Included,1,1,9475,">=5,000 genes",28,14,420,7,2,3,3,0.6051,-0.3251,0.6051,0.5371,0.4623,0.119,0,0,0,0,0,,5,0.15,0.7,1,"insufficient_evidence, negative_context, positive_control_only"
Xenium breast biomarkers,positive null control ladder,Xenium,Included,12,12,542,"<1,100 genes",42,0,630,7,2,3,3,0.6029,-0.3229,0.6029,0.5371,0.4623,0.119,36,6,12,18,0,positive_control_ladder,3,0.0,0.0,0,negative_context
CosMx BCC 6K,residual pathway module prediction,CosMx,Included,8,4,6195,">=5,000 genes",42,0,630,7,2,3,3,0.6743,-0.3943,0.6743,0.2337,0.76,0.1876,0,0,0,0,0,,4,0.05,0.1,0,"coverage_only, negative_context"
CosMx NSCLC,residual pathway module prediction,CosMx,Included,1,1,980,"<1,100 genes",28,14,420,7,2,3,3,0.6714,-0.3914,0.6714,0.2337,0.76,0.1876,0,0,0,0,0,,2,0.1,0.1,0,coverage_only
CosMx PDAC 1K,residual pathway module prediction,CosMx,Included,8,8,1000,"<1,100 genes",42,0,630,7,2,3,3,0.6739,-0.3939,0.6739,0.2337,0.76,0.1876,0,0,0,0,0,,3,0.1167,0.35,0,"localized_exploratory, negative_context"
CosMx PDAC metastasis,residual pathway module prediction,CosMx,Included,7,3,1010,"<1,100 genes",42,0,630,7,2,3,3,0.6704,-0.3904,0.6704,0.2337,0.76,0.1876,0,0,0,0,0,,6,0.225,0.35,0,"borderline_preflight, localized_exploratory, negative_context"
Xenium breast 5K,residual pathway module prediction,Xenium,Included,1,1,9475,">=5,000 genes",28,14,420,7,2,3,3,0.6748,-0.3948,0.6748,0.2337,0.76,0.1876,0,0,0,0,0,,5,0.15,0.7,1,"insufficient_evidence, negative_context, positive_control_only"
Xenium breast biomarkers,residual pathway module prediction,Xenium,Included,12,12,542,"<1,100 genes",42,0,630,7,2,3,3,0.6739,-0.3939,0.6739,0.2337,0.76,0.1876,0,0,0,0,0,,3,0.0,0.0,0,negative_context
CosMx BCC 6K,residual receptor prediction,CosMx,Included,8,4,6195,">=5,000 genes",42,0,630,7,2,3,3,0.6789,-0.3989,0.6789,0.2337,0.76,0.1876,0,0,0,0,0,,4,0.05,0.1,0,"coverage_only, negative_context"
CosMx NSCLC,residual receptor prediction,CosMx,Included,1,1,980,"<1,100 genes",28,14,420,7,2,3,3,0.6815,-0.4015,0.6815,0.2337,0.76,0.1876,0,0,0,0,0,,2,0.1,0.1,0,coverage_only
CosMx PDAC 1K,residual receptor prediction,CosMx,Included,8,8,1000,"<1,100 genes",42,0,630,7,2,3,3,0.6789,-0.3989,0.6789,0.2337,0.76,0.1876,0,0,0,0,0,,3,0.1167,0.35,0,"localized_exploratory, negative_context"
CosMx PDAC metastasis,residual receptor prediction,CosMx,Included,7,3,1010,"<1,100 genes",42,0,630,7,2,3,3,0.681,-0.401,0.681,0.2337,0.76,0.1876,0,0,0,0,0,,6,0.225,0.35,0,"borderline_preflight, localized_exploratory, negative_context"
Xenium breast 5K,residual receptor prediction,Xenium,Included,1,1,9475,">=5,000 genes",28,14,420,7,2,3,3,0.6842,-0.4042,0.6842,0.2337,0.76,0.1876,0,0,0,0,0,,5,0.15,0.7,1,"insufficient_evidence, negative_context, positive_control_only"
Xenium breast biomarkers,residual receptor prediction,Xenium,Included,12,12,542,"<1,100 genes",42,0,630,7,2,3,3,0.6826,-0.4026,0.6826,0.2337,0.76,0.1876,0,0,0,0,0,,3,0.0,0.0,0,negative_context
