Curve,Dataset,Control level,Method,Method family,Signal strength,Effective signal strength,Noise fraction,Prevalence,Localization scope,Expected route,Expected context-positive,Sensitivity,Recovery rate,Specificity,False-context rate,Abstention rate,Rows,Ladder description
null or confounded specificity,Xenium breast biomarkers,null no context signal,CellPack tiny,cellpack packed context,0.0,0.0103,0.0,0.0,none,expression_only,False,,,0.86,0.0,0.0,6,No injected neighbor-context signal.
null or confounded specificity,CosMx PDAC 1K,null no context signal,ContextGate,contextgate transparent router,0.0,0.0099,0.0,0.0,none,expression_only,False,,,0.98,0.0,0.0,6,No injected neighbor-context signal.
null or confounded specificity,Xenium breast biomarkers,null no context signal,ContextGate,contextgate transparent router,0.0,0.0103,0.0,0.0,none,expression_only,False,,,0.98,0.0,0.0,6,No injected neighbor-context signal.
null or confounded specificity,CosMx PDAC 1K,null no context signal,Coord. shuffled,wrong context coordinate shuffled,0.0,0.0099,0.0,0.0,none,expression_only,False,,,0.0,1.0,0.0,6,No injected neighbor-context signal.
null or confounded specificity,Xenium breast biomarkers,null no context signal,Coord. shuffled,wrong context coordinate shuffled,0.0,0.0103,0.0,0.0,none,expression_only,False,,,0.0,1.0,0.0,6,No injected neighbor-context signal.
null or confounded specificity,CosMx PDAC 1K,null no context signal,Distant control,wrong context distant neighbor,0.0,0.0099,0.0,0.0,none,expression_only,False,,,0.0,1.0,0.0,6,No injected neighbor-context signal.
null or confounded specificity,Xenium breast biomarkers,null no context signal,Distant control,wrong context distant neighbor,0.0,0.0103,0.0,0.0,none,expression_only,False,,,0.0,1.0,0.0,6,No injected neighbor-context signal.
null or confounded specificity,CosMx PDAC 1K,null no context signal,Expression only,expression only or center only,0.0,0.0099,0.0,0.0,none,expression_only,False,,,1.0,0.0,0.0,6,No injected neighbor-context signal.
null or confounded specificity,Xenium breast biomarkers,null no context signal,Expression only,expression only or center only,0.0,0.0103,0.0,0.0,none,expression_only,False,,,1.0,0.0,0.0,6,No injected neighbor-context signal.
null or confounded specificity,CosMx PDAC 1K,null no context signal,GraphSAGE style,gnn style context aggregation,0.0,0.0099,0.0,0.0,none,expression_only,False,,,0.88,0.0,0.0,6,No injected neighbor-context signal.
null or confounded specificity,Xenium breast biomarkers,null no context signal,GraphSAGE style,gnn style context aggregation,0.0,0.0103,0.0,0.0,none,expression_only,False,,,0.88,0.0,0.0,6,No injected neighbor-context signal.
null or confounded specificity,CosMx PDAC 1K,null no context signal,LR/pathway,ligand receptor or pathway heuristic,0.0,0.0099,0.0,0.0,none,expression_only,False,,,0.9,0.0,0.0,6,No injected neighbor-context signal.
null or confounded specificity,Xenium breast biomarkers,null no context signal,LR/pathway,ligand receptor or pathway heuristic,0.0,0.0103,0.0,0.0,none,expression_only,False,,,0.9,0.0,0.0,6,No injected neighbor-context signal.
null or confounded specificity,CosMx PDAC 1K,null no context signal,Random control,wrong context random neighbor,0.0,0.0099,0.0,0.0,none,expression_only,False,,,0.0,1.0,0.0,6,No injected neighbor-context signal.
null or confounded specificity,Xenium breast biomarkers,null no context signal,Random control,wrong context random neighbor,0.0,0.0103,0.0,0.0,none,expression_only,False,,,0.0,1.0,0.0,6,No injected neighbor-context signal.
null or confounded specificity,CosMx PDAC 1K,null no context signal,Spatial stats,spatial statistics heuristic,0.0,0.0099,0.0,0.0,none,expression_only,False,,,0.92,0.0,0.0,6,No injected neighbor-context signal.
null or confounded specificity,Xenium breast biomarkers,null no context signal,Spatial stats,spatial statistics heuristic,0.0,0.0103,0.0,0.0,none,expression_only,False,,,0.92,0.0,0.0,6,No injected neighbor-context signal.
positive recovery,CosMx PDAC 1K,localized context signal,Always context,always true neighbor context,0.75,0.7635,0.12,0.3,fov_or_celltype_subset,positive_control_only,True,0.92,1.0,,,0.0,6,Synthetic signal restricted to a local stratum.
positive recovery,Xenium breast biomarkers,localized context signal,Always context,always true neighbor context,0.75,0.7584,0.12,0.3,fov_or_celltype_subset,positive_control_only,True,0.92,1.0,,,0.0,6,Synthetic signal restricted to a local stratum.
positive recovery,CosMx PDAC 1K,localized context signal,CellPack tiny,cellpack packed context,0.75,0.7635,0.12,0.3,fov_or_celltype_subset,positive_control_only,True,0.86,1.0,,,0.0,6,Synthetic signal restricted to a local stratum.
positive recovery,Xenium breast biomarkers,localized context signal,CellPack tiny,cellpack packed context,0.75,0.7584,0.12,0.3,fov_or_celltype_subset,positive_control_only,True,0.86,1.0,,,0.0,6,Synthetic signal restricted to a local stratum.
positive recovery,CosMx PDAC 1K,localized context signal,ContextGate,contextgate transparent router,0.75,0.7635,0.12,0.3,fov_or_celltype_subset,positive_control_only,True,0.84,1.0,,,0.0,6,Synthetic signal restricted to a local stratum.
positive recovery,Xenium breast biomarkers,localized context signal,ContextGate,contextgate transparent router,0.75,0.7584,0.12,0.3,fov_or_celltype_subset,positive_control_only,True,0.84,1.0,,,0.0,6,Synthetic signal restricted to a local stratum.
positive recovery,CosMx PDAC 1K,localized context signal,Coord. shuffled,wrong context coordinate shuffled,0.75,0.7635,0.12,0.3,fov_or_celltype_subset,positive_control_only,True,0.0764,0.0,,,0.0,6,Synthetic signal restricted to a local stratum.
positive recovery,Xenium breast biomarkers,localized context signal,Coord. shuffled,wrong context coordinate shuffled,0.75,0.7584,0.12,0.3,fov_or_celltype_subset,positive_control_only,True,0.0758,0.0,,,0.0,6,Synthetic signal restricted to a local stratum.
positive recovery,CosMx PDAC 1K,localized context signal,Distant control,wrong context distant neighbor,0.75,0.7635,0.12,0.3,fov_or_celltype_subset,positive_control_only,True,0.0764,0.0,,,0.0,6,Synthetic signal restricted to a local stratum.
positive recovery,Xenium breast biomarkers,localized context signal,Distant control,wrong context distant neighbor,0.75,0.7584,0.12,0.3,fov_or_celltype_subset,positive_control_only,True,0.0758,0.0,,,0.0,6,Synthetic signal restricted to a local stratum.
positive recovery,CosMx PDAC 1K,localized context signal,Expression only,expression only or center only,0.75,0.7635,0.12,0.3,fov_or_celltype_subset,positive_control_only,True,0.0,0.0,,,0.0,6,Synthetic signal restricted to a local stratum.
positive recovery,Xenium breast biomarkers,localized context signal,Expression only,expression only or center only,0.75,0.7584,0.12,0.3,fov_or_celltype_subset,positive_control_only,True,0.0,0.0,,,0.0,6,Synthetic signal restricted to a local stratum.
positive recovery,CosMx PDAC 1K,localized context signal,GraphSAGE style,gnn style context aggregation,0.75,0.7635,0.12,0.3,fov_or_celltype_subset,positive_control_only,True,0.84,1.0,,,0.0,6,Synthetic signal restricted to a local stratum.
positive recovery,Xenium breast biomarkers,localized context signal,GraphSAGE style,gnn style context aggregation,0.75,0.7584,0.12,0.3,fov_or_celltype_subset,positive_control_only,True,0.84,1.0,,,0.0,6,Synthetic signal restricted to a local stratum.
positive recovery,CosMx PDAC 1K,localized context signal,LR/pathway,ligand receptor or pathway heuristic,0.75,0.7635,0.12,0.3,fov_or_celltype_subset,positive_control_only,True,0.76,1.0,,,0.0,6,Synthetic signal restricted to a local stratum.
positive recovery,Xenium breast biomarkers,localized context signal,LR/pathway,ligand receptor or pathway heuristic,0.75,0.7584,0.12,0.3,fov_or_celltype_subset,positive_control_only,True,0.76,1.0,,,0.0,6,Synthetic signal restricted to a local stratum.
positive recovery,CosMx PDAC 1K,localized context signal,Random control,wrong context random neighbor,0.75,0.7635,0.12,0.3,fov_or_celltype_subset,positive_control_only,True,0.0764,0.0,,,0.0,6,Synthetic signal restricted to a local stratum.
positive recovery,Xenium breast biomarkers,localized context signal,Random control,wrong context random neighbor,0.75,0.7584,0.12,0.3,fov_or_celltype_subset,positive_control_only,True,0.0758,0.0,,,0.0,6,Synthetic signal restricted to a local stratum.
positive recovery,CosMx PDAC 1K,localized context signal,Spatial stats,spatial statistics heuristic,0.75,0.7635,0.12,0.3,fov_or_celltype_subset,positive_control_only,True,0.82,1.0,,,0.0,6,Synthetic signal restricted to a local stratum.
positive recovery,Xenium breast biomarkers,localized context signal,Spatial stats,spatial statistics heuristic,0.75,0.7584,0.12,0.3,fov_or_celltype_subset,positive_control_only,True,0.82,1.0,,,0.0,6,Synthetic signal restricted to a local stratum.
positive recovery,CosMx PDAC 1K,strong injected context signal,Always context,always true neighbor context,1.0,1.0,0.02,0.8,global,positive_control_only,True,0.92,1.0,,,0.0,6,Strong synthetic true-neighbor signal.
positive recovery,Xenium breast biomarkers,strong injected context signal,Always context,always true neighbor context,1.0,1.0,0.02,0.8,global,positive_control_only,True,0.92,1.0,,,0.0,6,Strong synthetic true-neighbor signal.
positive recovery,CosMx PDAC 1K,strong injected context signal,CellPack tiny,cellpack packed context,1.0,1.0,0.02,0.8,global,positive_control_only,True,0.86,1.0,,,0.0,6,Strong synthetic true-neighbor signal.
positive recovery,Xenium breast biomarkers,strong injected context signal,CellPack tiny,cellpack packed context,1.0,1.0,0.02,0.8,global,positive_control_only,True,0.86,1.0,,,0.0,6,Strong synthetic true-neighbor signal.
positive recovery,CosMx PDAC 1K,strong injected context signal,ContextGate,contextgate transparent router,1.0,1.0,0.02,0.8,global,positive_control_only,True,0.97,1.0,,,0.0,6,Strong synthetic true-neighbor signal.
positive recovery,Xenium breast biomarkers,strong injected context signal,ContextGate,contextgate transparent router,1.0,1.0,0.02,0.8,global,positive_control_only,True,0.97,1.0,,,0.0,6,Strong synthetic true-neighbor signal.
positive recovery,CosMx PDAC 1K,strong injected context signal,Coord. shuffled,wrong context coordinate shuffled,1.0,1.0,0.02,0.8,global,positive_control_only,True,0.1,0.0,,,0.0,6,Strong synthetic true-neighbor signal.
positive recovery,Xenium breast biomarkers,strong injected context signal,Coord. shuffled,wrong context coordinate shuffled,1.0,1.0,0.02,0.8,global,positive_control_only,True,0.1,0.0,,,0.0,6,Strong synthetic true-neighbor signal.
positive recovery,CosMx PDAC 1K,strong injected context signal,Distant control,wrong context distant neighbor,1.0,1.0,0.02,0.8,global,positive_control_only,True,0.1,0.0,,,0.0,6,Strong synthetic true-neighbor signal.
positive recovery,Xenium breast biomarkers,strong injected context signal,Distant control,wrong context distant neighbor,1.0,1.0,0.02,0.8,global,positive_control_only,True,0.1,0.0,,,0.0,6,Strong synthetic true-neighbor signal.
positive recovery,CosMx PDAC 1K,strong injected context signal,Expression only,expression only or center only,1.0,1.0,0.02,0.8,global,positive_control_only,True,0.0,0.0,,,0.0,6,Strong synthetic true-neighbor signal.
positive recovery,Xenium breast biomarkers,strong injected context signal,Expression only,expression only or center only,1.0,1.0,0.02,0.8,global,positive_control_only,True,0.0,0.0,,,0.0,6,Strong synthetic true-neighbor signal.
positive recovery,CosMx PDAC 1K,strong injected context signal,GraphSAGE style,gnn style context aggregation,1.0,1.0,0.02,0.8,global,positive_control_only,True,0.84,1.0,,,0.0,6,Strong synthetic true-neighbor signal.
positive recovery,Xenium breast biomarkers,strong injected context signal,GraphSAGE style,gnn style context aggregation,1.0,1.0,0.02,0.8,global,positive_control_only,True,0.84,1.0,,,0.0,6,Strong synthetic true-neighbor signal.
positive recovery,CosMx PDAC 1K,strong injected context signal,LR/pathway,ligand receptor or pathway heuristic,1.0,1.0,0.02,0.8,global,positive_control_only,True,0.76,1.0,,,0.0,6,Strong synthetic true-neighbor signal.
positive recovery,Xenium breast biomarkers,strong injected context signal,LR/pathway,ligand receptor or pathway heuristic,1.0,1.0,0.02,0.8,global,positive_control_only,True,0.76,1.0,,,0.0,6,Strong synthetic true-neighbor signal.
positive recovery,CosMx PDAC 1K,strong injected context signal,Random control,wrong context random neighbor,1.0,1.0,0.02,0.8,global,positive_control_only,True,0.1,0.0,,,0.0,6,Strong synthetic true-neighbor signal.
positive recovery,Xenium breast biomarkers,strong injected context signal,Random control,wrong context random neighbor,1.0,1.0,0.02,0.8,global,positive_control_only,True,0.1,0.0,,,0.0,6,Strong synthetic true-neighbor signal.
positive recovery,CosMx PDAC 1K,strong injected context signal,Spatial stats,spatial statistics heuristic,1.0,1.0,0.02,0.8,global,positive_control_only,True,0.82,1.0,,,0.0,6,Strong synthetic true-neighbor signal.
positive recovery,Xenium breast biomarkers,strong injected context signal,Spatial stats,spatial statistics heuristic,1.0,1.0,0.02,0.8,global,positive_control_only,True,0.82,1.0,,,0.0,6,Strong synthetic true-neighbor signal.
positive recovery,CosMx PDAC 1K,weak or noisy injected context signal,Always context,always true neighbor context,0.55,0.558,0.25,0.45,global,positive_control_only,True,0.92,1.0,,,0.0,6,Moderate synthetic signal with noise.
positive recovery,Xenium breast biomarkers,weak or noisy injected context signal,Always context,always true neighbor context,0.55,0.5631,0.25,0.45,global,positive_control_only,True,0.92,1.0,,,0.0,6,Moderate synthetic signal with noise.
positive recovery,CosMx PDAC 1K,weak or noisy injected context signal,CellPack tiny,cellpack packed context,0.55,0.558,0.25,0.45,global,positive_control_only,True,0.67,1.0,,,0.0,6,Moderate synthetic signal with noise.
positive recovery,Xenium breast biomarkers,weak or noisy injected context signal,CellPack tiny,cellpack packed context,0.55,0.5631,0.25,0.45,global,positive_control_only,True,0.67,1.0,,,0.0,6,Moderate synthetic signal with noise.
positive recovery,CosMx PDAC 1K,weak or noisy injected context signal,ContextGate,contextgate transparent router,0.55,0.558,0.25,0.45,global,positive_control_only,True,0.78,1.0,,,0.0,6,Moderate synthetic signal with noise.
positive recovery,Xenium breast biomarkers,weak or noisy injected context signal,ContextGate,contextgate transparent router,0.55,0.5631,0.25,0.45,global,positive_control_only,True,0.78,1.0,,,0.0,6,Moderate synthetic signal with noise.
positive recovery,CosMx PDAC 1K,weak or noisy injected context signal,Coord. shuffled,wrong context coordinate shuffled,0.55,0.558,0.25,0.45,global,positive_control_only,True,0.0558,0.0,,,0.0,6,Moderate synthetic signal with noise.
positive recovery,Xenium breast biomarkers,weak or noisy injected context signal,Coord. shuffled,wrong context coordinate shuffled,0.55,0.5631,0.25,0.45,global,positive_control_only,True,0.0563,0.0,,,0.0,6,Moderate synthetic signal with noise.
positive recovery,CosMx PDAC 1K,weak or noisy injected context signal,Distant control,wrong context distant neighbor,0.55,0.558,0.25,0.45,global,positive_control_only,True,0.0558,0.0,,,0.0,6,Moderate synthetic signal with noise.
positive recovery,Xenium breast biomarkers,weak or noisy injected context signal,Distant control,wrong context distant neighbor,0.55,0.5631,0.25,0.45,global,positive_control_only,True,0.0563,0.0,,,0.0,6,Moderate synthetic signal with noise.
positive recovery,CosMx PDAC 1K,weak or noisy injected context signal,Expression only,expression only or center only,0.55,0.558,0.25,0.45,global,positive_control_only,True,0.0,0.0,,,0.0,6,Moderate synthetic signal with noise.
positive recovery,Xenium breast biomarkers,weak or noisy injected context signal,Expression only,expression only or center only,0.55,0.5631,0.25,0.45,global,positive_control_only,True,0.0,0.0,,,0.0,6,Moderate synthetic signal with noise.
positive recovery,CosMx PDAC 1K,weak or noisy injected context signal,GraphSAGE style,gnn style context aggregation,0.55,0.558,0.25,0.45,global,positive_control_only,True,0.68,1.0,,,0.0,6,Moderate synthetic signal with noise.
positive recovery,Xenium breast biomarkers,weak or noisy injected context signal,GraphSAGE style,gnn style context aggregation,0.55,0.5631,0.25,0.45,global,positive_control_only,True,0.68,1.0,,,0.0,6,Moderate synthetic signal with noise.
positive recovery,CosMx PDAC 1K,weak or noisy injected context signal,LR/pathway,ligand receptor or pathway heuristic,0.55,0.558,0.25,0.45,global,positive_control_only,True,0.66,1.0,,,0.0,6,Moderate synthetic signal with noise.
positive recovery,Xenium breast biomarkers,weak or noisy injected context signal,LR/pathway,ligand receptor or pathway heuristic,0.55,0.5631,0.25,0.45,global,positive_control_only,True,0.66,1.0,,,0.0,6,Moderate synthetic signal with noise.
positive recovery,CosMx PDAC 1K,weak or noisy injected context signal,Random control,wrong context random neighbor,0.55,0.558,0.25,0.45,global,positive_control_only,True,0.0558,0.0,,,0.0,6,Moderate synthetic signal with noise.
positive recovery,Xenium breast biomarkers,weak or noisy injected context signal,Random control,wrong context random neighbor,0.55,0.5631,0.25,0.45,global,positive_control_only,True,0.0563,0.0,,,0.0,6,Moderate synthetic signal with noise.
positive recovery,CosMx PDAC 1K,weak or noisy injected context signal,Spatial stats,spatial statistics heuristic,0.55,0.558,0.25,0.45,global,positive_control_only,True,0.48,0.0,,,1.0,6,Moderate synthetic signal with noise.
positive recovery,Xenium breast biomarkers,weak or noisy injected context signal,Spatial stats,spatial statistics heuristic,0.55,0.5631,0.25,0.45,global,positive_control_only,True,0.48,0.0,,,1.0,6,Moderate synthetic signal with noise.
