Source,Evidence stratum,Null class,Denominator policy,Method,Method family,Rows,Context-use rate,False-context rows,Primary rate,Primary rate label,No-harm rate,Null specificity,Positive sensitivity,Route recovery,Source artifact,Interpretation
CP-Q2 method comparison,All CP-Q2 registered rows,all-row registered mix,all_row_false_context_flag_mean,Expression only,expression only or center only,23,0.0,0,0.0,All-row false-context flag mean,1.0,1.0,,0.4783,results/reports/cp_q2_method_comparison/method_predictions.csv,This is the source of the legacy 0.4783 always-context value; it is not the primary null-denominator FCR.
CP-Q2 method comparison,All CP-Q2 registered rows,all-row registered mix,all_row_false_context_flag_mean,LR/pathway,ligand receptor or pathway heuristic,23,0.3478,0,0.0,All-row false-context flag mean,1.0,1.0,,0.3478,results/reports/cp_q2_method_comparison/method_predictions.csv,This is the source of the legacy 0.4783 always-context value; it is not the primary null-denominator FCR.
CP-Q2 method comparison,All CP-Q2 registered rows,all-row registered mix,all_row_false_context_flag_mean,GraphSAGE style,gnn style context aggregation,23,0.3913,0,0.0,All-row false-context flag mean,1.0,1.0,,0.087,results/reports/cp_q2_method_comparison/method_predictions.csv,This is the source of the legacy 0.4783 always-context value; it is not the primary null-denominator FCR.
CP-Q2 method comparison,All CP-Q2 registered rows,all-row registered mix,all_row_false_context_flag_mean,Random control,wrong context random neighbor,23,1.0,11,0.4783,All-row false-context flag mean,0.5217,0.5217,,0.0435,results/reports/cp_q2_method_comparison/method_predictions.csv,This is the source of the legacy 0.4783 always-context value; it is not the primary null-denominator FCR.
CP-Q2 method comparison,All CP-Q2 registered rows,all-row registered mix,all_row_false_context_flag_mean,Spatial stats,spatial statistics heuristic,23,0.0435,0,0.0,All-row false-context flag mean,1.0,1.0,,1.0,results/reports/cp_q2_method_comparison/method_predictions.csv,This is the source of the legacy 0.4783 always-context value; it is not the primary null-denominator FCR.
CP-Q3 positive/null ladder,Synthetic positive-control rows,positive controls,positive_control_sensitivity,Always context,always true neighbor context,36,1.0,0,0.92,Positive-control sensitivity,1.0,,0.92,1.0,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.csv,Sensitivity on injected spatial-signal rows; this separates ContextGate from expression-only despite equal real-data FCR.
CP-Q3 positive/null ladder,Synthetic positive-control rows,positive controls,positive_control_sensitivity,CellPack tiny,cellpack packed context,36,1.0,0,0.7967,Positive-control sensitivity,1.0,,0.7967,1.0,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.csv,Sensitivity on injected spatial-signal rows; this separates ContextGate from expression-only despite equal real-data FCR.
CP-Q3 positive/null ladder,Synthetic positive-control rows,positive controls,positive_control_sensitivity,ContextGate,contextgate transparent router,36,0.0,0,0.8633,Positive-control sensitivity,1.0,,0.8633,1.0,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.csv,Sensitivity on injected spatial-signal rows; this separates ContextGate from expression-only despite equal real-data FCR.
CP-Q3 positive/null ladder,Synthetic positive-control rows,positive controls,positive_control_sensitivity,Coord. shuffled,wrong context coordinate shuffled,36,1.0,0,0.0774,Positive-control sensitivity,0.0,,0.0774,0.0,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.csv,Sensitivity on injected spatial-signal rows; this separates ContextGate from expression-only despite equal real-data FCR.
CP-Q3 positive/null ladder,Synthetic positive-control rows,positive controls,positive_control_sensitivity,Distant control,wrong context distant neighbor,36,1.0,0,0.0774,Positive-control sensitivity,0.0,,0.0774,0.0,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.csv,Sensitivity on injected spatial-signal rows; this separates ContextGate from expression-only despite equal real-data FCR.
CP-Q3 positive/null ladder,Synthetic positive-control rows,positive controls,positive_control_sensitivity,Expression only,expression only or center only,36,0.0,0,0.0,Positive-control sensitivity,0.0,,0.0,0.0,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.csv,Sensitivity on injected spatial-signal rows; this separates ContextGate from expression-only despite equal real-data FCR.
CP-Q3 positive/null ladder,Synthetic positive-control rows,positive controls,positive_control_sensitivity,LR/pathway,ligand receptor or pathway heuristic,36,1.0,0,0.7267,Positive-control sensitivity,1.0,,0.7267,1.0,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.csv,Sensitivity on injected spatial-signal rows; this separates ContextGate from expression-only despite equal real-data FCR.
CP-Q3 positive/null ladder,Synthetic positive-control rows,positive controls,positive_control_sensitivity,GraphSAGE style,gnn style context aggregation,36,1.0,0,0.7867,Positive-control sensitivity,1.0,,0.7867,1.0,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.csv,Sensitivity on injected spatial-signal rows; this separates ContextGate from expression-only despite equal real-data FCR.
CP-Q3 positive/null ladder,Synthetic positive-control rows,positive controls,positive_control_sensitivity,Random control,wrong context random neighbor,36,1.0,0,0.0774,Positive-control sensitivity,0.0,,0.0774,0.0,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.csv,Sensitivity on injected spatial-signal rows; this separates ContextGate from expression-only despite equal real-data FCR.
CP-Q3 positive/null ladder,Synthetic positive-control rows,positive controls,positive_control_sensitivity,Spatial stats,spatial statistics heuristic,36,0.6667,0,0.7067,Positive-control sensitivity,0.6667,,0.7067,0.6667,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.csv,Sensitivity on injected spatial-signal rows; this separates ContextGate from expression-only despite equal real-data FCR.
CP-Q3 positive/null ladder,All synthetic null/control rows,synthetic null/control,synthetic_null_fcr,Always context,always true neighbor context,36,1.0,36,1.0,Null-denominator FCR,0.0,0.0,,0.0,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.csv,Full null-ladder denominator used for synthetic specificity.
CP-Q3 positive/null ladder,All synthetic null/control rows,synthetic null/control,synthetic_null_fcr,CellPack tiny,cellpack packed context,36,0.3333,12,0.3333,Null-denominator FCR,0.56,0.56,,0.6667,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.csv,Full null-ladder denominator used for synthetic specificity.
CP-Q3 positive/null ladder,All synthetic null/control rows,synthetic null/control,synthetic_null_fcr,ContextGate,contextgate transparent router,36,0.0,0,0.0,Null-denominator FCR,0.9433,0.9433,,1.0,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.csv,Full null-ladder denominator used for synthetic specificity.
CP-Q3 positive/null ladder,All synthetic null/control rows,synthetic null/control,synthetic_null_fcr,Coord. shuffled,wrong context coordinate shuffled,36,1.0,36,1.0,Null-denominator FCR,0.0,0.0,,0.0,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.csv,Full null-ladder denominator used for synthetic specificity.
CP-Q3 positive/null ladder,All synthetic null/control rows,synthetic null/control,synthetic_null_fcr,Distant control,wrong context distant neighbor,36,1.0,36,1.0,Null-denominator FCR,0.0,0.0,,0.0,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.csv,Full null-ladder denominator used for synthetic specificity.
CP-Q3 positive/null ladder,All synthetic null/control rows,synthetic null/control,synthetic_null_fcr,Expression only,expression only or center only,36,0.0,0,0.0,Null-denominator FCR,1.0,1.0,,1.0,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.csv,Full null-ladder denominator used for synthetic specificity.
CP-Q3 positive/null ladder,All synthetic null/control rows,synthetic null/control,synthetic_null_fcr,LR/pathway,ligand receptor or pathway heuristic,36,0.3333,12,0.3333,Null-denominator FCR,0.62,0.62,,0.6667,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.csv,Full null-ladder denominator used for synthetic specificity.
CP-Q3 positive/null ladder,All synthetic null/control rows,synthetic null/control,synthetic_null_fcr,GraphSAGE style,gnn style context aggregation,36,0.3333,12,0.3333,Null-denominator FCR,0.58,0.58,,0.6667,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.csv,Full null-ladder denominator used for synthetic specificity.
CP-Q3 positive/null ladder,All synthetic null/control rows,synthetic null/control,synthetic_null_fcr,Random control,wrong context random neighbor,36,1.0,36,1.0,Null-denominator FCR,0.0,0.0,,0.0,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.csv,Full null-ladder denominator used for synthetic specificity.
CP-Q3 positive/null ladder,All synthetic null/control rows,synthetic null/control,synthetic_null_fcr,Spatial stats,spatial statistics heuristic,36,0.3333,12,0.3333,Null-denominator FCR,0.5867,0.5867,,0.6667,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.csv,Full null-ladder denominator used for synthetic specificity.
CP-Q3 positive/null ladder,Synthetic null no-context rows,synthetic null,synthetic_null_fcr,Always context,always true neighbor context,12,1.0,12,1.0,Null-denominator FCR,0.0,0.0,,0.0,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.csv,Evaluator-null rung with no injected neighbor dependency.
CP-Q3 positive/null ladder,Synthetic null no-context rows,synthetic null,synthetic_null_fcr,CellPack tiny,cellpack packed context,12,0.0,0,0.0,Null-denominator FCR,0.86,0.86,,1.0,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.csv,Evaluator-null rung with no injected neighbor dependency.
CP-Q3 positive/null ladder,Synthetic null no-context rows,synthetic null,synthetic_null_fcr,ContextGate,contextgate transparent router,12,0.0,0,0.0,Null-denominator FCR,0.98,0.98,,1.0,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.csv,Evaluator-null rung with no injected neighbor dependency.
CP-Q3 positive/null ladder,Synthetic null no-context rows,synthetic null,synthetic_null_fcr,Coord. shuffled,wrong context coordinate shuffled,12,1.0,12,1.0,Null-denominator FCR,0.0,0.0,,0.0,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.csv,Evaluator-null rung with no injected neighbor dependency.
CP-Q3 positive/null ladder,Synthetic null no-context rows,synthetic null,synthetic_null_fcr,Distant control,wrong context distant neighbor,12,1.0,12,1.0,Null-denominator FCR,0.0,0.0,,0.0,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.csv,Evaluator-null rung with no injected neighbor dependency.
CP-Q3 positive/null ladder,Synthetic null no-context rows,synthetic null,synthetic_null_fcr,Expression only,expression only or center only,12,0.0,0,0.0,Null-denominator FCR,1.0,1.0,,1.0,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.csv,Evaluator-null rung with no injected neighbor dependency.
CP-Q3 positive/null ladder,Synthetic null no-context rows,synthetic null,synthetic_null_fcr,LR/pathway,ligand receptor or pathway heuristic,12,0.0,0,0.0,Null-denominator FCR,0.9,0.9,,1.0,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.csv,Evaluator-null rung with no injected neighbor dependency.
CP-Q3 positive/null ladder,Synthetic null no-context rows,synthetic null,synthetic_null_fcr,GraphSAGE style,gnn style context aggregation,12,0.0,0,0.0,Null-denominator FCR,0.88,0.88,,1.0,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.csv,Evaluator-null rung with no injected neighbor dependency.
CP-Q3 positive/null ladder,Synthetic null no-context rows,synthetic null,synthetic_null_fcr,Random control,wrong context random neighbor,12,1.0,12,1.0,Null-denominator FCR,0.0,0.0,,0.0,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.csv,Evaluator-null rung with no injected neighbor dependency.
CP-Q3 positive/null ladder,Synthetic null no-context rows,synthetic null,synthetic_null_fcr,Spatial stats,spatial statistics heuristic,12,0.0,0,0.0,Null-denominator FCR,0.92,0.92,,1.0,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.csv,Evaluator-null rung with no injected neighbor dependency.
CP-Q3 positive/null ladder,Synthetic panel-limited/dropout rows,panel-limited unobservable,panel_limited_fcr,Always context,always true neighbor context,12,1.0,12,1.0,Null-denominator FCR,0.0,0.0,,0.0,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.csv,Panel/dropout rung where neighbor context may be mathematically unobservable.
CP-Q3 positive/null ladder,Synthetic panel-limited/dropout rows,panel-limited unobservable,panel_limited_fcr,CellPack tiny,cellpack packed context,12,0.0,0,0.0,Null-denominator FCR,0.82,0.82,,1.0,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.csv,Panel/dropout rung where neighbor context may be mathematically unobservable.
CP-Q3 positive/null ladder,Synthetic panel-limited/dropout rows,panel-limited unobservable,panel_limited_fcr,ContextGate,contextgate transparent router,12,0.0,0,0.0,Null-denominator FCR,0.94,0.94,,1.0,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.csv,Panel/dropout rung where neighbor context may be mathematically unobservable.
CP-Q3 positive/null ladder,Synthetic panel-limited/dropout rows,panel-limited unobservable,panel_limited_fcr,Coord. shuffled,wrong context coordinate shuffled,12,1.0,12,1.0,Null-denominator FCR,0.0,0.0,,0.0,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.csv,Panel/dropout rung where neighbor context may be mathematically unobservable.
CP-Q3 positive/null ladder,Synthetic panel-limited/dropout rows,panel-limited unobservable,panel_limited_fcr,Distant control,wrong context distant neighbor,12,1.0,12,1.0,Null-denominator FCR,0.0,0.0,,0.0,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.csv,Panel/dropout rung where neighbor context may be mathematically unobservable.
CP-Q3 positive/null ladder,Synthetic panel-limited/dropout rows,panel-limited unobservable,panel_limited_fcr,Expression only,expression only or center only,12,0.0,0,0.0,Null-denominator FCR,1.0,1.0,,1.0,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.csv,Panel/dropout rung where neighbor context may be mathematically unobservable.
CP-Q3 positive/null ladder,Synthetic panel-limited/dropout rows,panel-limited unobservable,panel_limited_fcr,LR/pathway,ligand receptor or pathway heuristic,12,0.0,0,0.0,Null-denominator FCR,0.96,0.96,,1.0,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.csv,Panel/dropout rung where neighbor context may be mathematically unobservable.
CP-Q3 positive/null ladder,Synthetic panel-limited/dropout rows,panel-limited unobservable,panel_limited_fcr,GraphSAGE style,gnn style context aggregation,12,0.0,0,0.0,Null-denominator FCR,0.86,0.86,,1.0,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.csv,Panel/dropout rung where neighbor context may be mathematically unobservable.
CP-Q3 positive/null ladder,Synthetic panel-limited/dropout rows,panel-limited unobservable,panel_limited_fcr,Random control,wrong context random neighbor,12,1.0,12,1.0,Null-denominator FCR,0.0,0.0,,0.0,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.csv,Panel/dropout rung where neighbor context may be mathematically unobservable.
CP-Q3 positive/null ladder,Synthetic panel-limited/dropout rows,panel-limited unobservable,panel_limited_fcr,Spatial stats,spatial statistics heuristic,12,0.0,0,0.0,Null-denominator FCR,0.84,0.84,,1.0,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.csv,Panel/dropout rung where neighbor context may be mathematically unobservable.
CP-Q3 positive/null ladder,Synthetic FOV/sample-confounded rows,FOV/sample confounded,confounded_context_fcr,Always context,always true neighbor context,12,1.0,12,1.0,Null-denominator FCR,0.0,0.0,,0.0,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.csv,Confounded rung where apparent context tracks FOV/sample structure rather than permitted neighbor signal.
CP-Q3 positive/null ladder,Synthetic FOV/sample-confounded rows,FOV/sample confounded,confounded_context_fcr,CellPack tiny,cellpack packed context,12,1.0,12,1.0,Null-denominator FCR,0.0,0.0,,0.0,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.csv,Confounded rung where apparent context tracks FOV/sample structure rather than permitted neighbor signal.
CP-Q3 positive/null ladder,Synthetic FOV/sample-confounded rows,FOV/sample confounded,confounded_context_fcr,ContextGate,contextgate transparent router,12,0.0,0,0.0,Null-denominator FCR,0.91,0.91,,1.0,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.csv,Confounded rung where apparent context tracks FOV/sample structure rather than permitted neighbor signal.
CP-Q3 positive/null ladder,Synthetic FOV/sample-confounded rows,FOV/sample confounded,confounded_context_fcr,Coord. shuffled,wrong context coordinate shuffled,12,1.0,12,1.0,Null-denominator FCR,0.0,0.0,,0.0,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.csv,Confounded rung where apparent context tracks FOV/sample structure rather than permitted neighbor signal.
CP-Q3 positive/null ladder,Synthetic FOV/sample-confounded rows,FOV/sample confounded,confounded_context_fcr,Distant control,wrong context distant neighbor,12,1.0,12,1.0,Null-denominator FCR,0.0,0.0,,0.0,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.csv,Confounded rung where apparent context tracks FOV/sample structure rather than permitted neighbor signal.
CP-Q3 positive/null ladder,Synthetic FOV/sample-confounded rows,FOV/sample confounded,confounded_context_fcr,Expression only,expression only or center only,12,0.0,0,0.0,Null-denominator FCR,1.0,1.0,,1.0,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.csv,Confounded rung where apparent context tracks FOV/sample structure rather than permitted neighbor signal.
CP-Q3 positive/null ladder,Synthetic FOV/sample-confounded rows,FOV/sample confounded,confounded_context_fcr,LR/pathway,ligand receptor or pathway heuristic,12,1.0,12,1.0,Null-denominator FCR,0.0,0.0,,0.0,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.csv,Confounded rung where apparent context tracks FOV/sample structure rather than permitted neighbor signal.
CP-Q3 positive/null ladder,Synthetic FOV/sample-confounded rows,FOV/sample confounded,confounded_context_fcr,GraphSAGE style,gnn style context aggregation,12,1.0,12,1.0,Null-denominator FCR,0.0,0.0,,0.0,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.csv,Confounded rung where apparent context tracks FOV/sample structure rather than permitted neighbor signal.
CP-Q3 positive/null ladder,Synthetic FOV/sample-confounded rows,FOV/sample confounded,confounded_context_fcr,Random control,wrong context random neighbor,12,1.0,12,1.0,Null-denominator FCR,0.0,0.0,,0.0,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.csv,Confounded rung where apparent context tracks FOV/sample structure rather than permitted neighbor signal.
CP-Q3 positive/null ladder,Synthetic FOV/sample-confounded rows,FOV/sample confounded,confounded_context_fcr,Spatial stats,spatial statistics heuristic,12,1.0,12,1.0,Null-denominator FCR,0.0,0.0,,0.0,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.csv,Confounded rung where apparent context tracks FOV/sample structure rather than permitted neighbor signal.
