Dataset,Task,Method,Rows,True routes,Evidence classes,Mean utility,Mean oracle utility,Mean regret,Context-use rate,False-context rate,No-harm rate,Abstention rate
CosMx PDAC 1K,context utility detection,Always context,3,"Abstain, Expression only","localized exploratory, negative context",0.0667,1.0,0.9333,1.0,0.6667,0.3333,0.0
CosMx PDAC 1K,context utility detection,Coord. shuffled,3,"Abstain, Expression only","localized exploratory, negative context",0.0667,1.0,0.9333,1.0,0.6667,0.3333,0.0
CosMx PDAC 1K,context utility detection,Distant control,3,"Abstain, Expression only","localized exploratory, negative context",0.0667,1.0,0.9333,1.0,0.6667,0.3333,0.0
CosMx PDAC 1K,context utility detection,Random control,3,"Abstain, Expression only","localized exploratory, negative context",0.0667,1.0,0.9333,1.0,0.6667,0.3333,0.0
CosMx PDAC metastasis,context utility detection,ContextGate,6,"Abstain, Expression only","borderline preflight, localized exploratory, negative context",1.0,1.0,0.0,0.0,0.0,1.0,0.8333
CosMx PDAC metastasis,context utility detection,Spatial stats,6,"Abstain, Expression only","borderline preflight, localized exploratory, negative context",1.0,1.0,0.0,0.0,0.0,1.0,0.8333
CosMx PDAC metastasis,context utility detection,CellPack tiny,6,"Abstain, Expression only","borderline preflight, localized exploratory, negative context",0.9333,1.0,0.0667,0.0,0.0,1.0,1.0
CosMx PDAC metastasis,context utility detection,Expression only,6,"Abstain, Expression only","borderline preflight, localized exploratory, negative context",0.75,1.0,0.25,0.0,0.0,1.0,0.0
CosMx PDAC metastasis,context utility detection,LR/pathway,6,"Abstain, Expression only","borderline preflight, localized exploratory, negative context",0.4,1.0,0.6,0.6667,0.0,1.0,0.3333
CosMx PDAC metastasis,context utility detection,GraphSAGE style,6,"Abstain, Expression only","borderline preflight, localized exploratory, negative context",0.2667,1.0,0.7333,0.8333,0.0,1.0,0.1667
CosMx PDAC metastasis,context utility detection,Always context,6,"Abstain, Expression only","borderline preflight, localized exploratory, negative context",0.1667,1.0,0.8333,1.0,0.1667,0.8333,0.0
CosMx PDAC metastasis,context utility detection,Coord. shuffled,6,"Abstain, Expression only","borderline preflight, localized exploratory, negative context",0.1667,1.0,0.8333,1.0,0.1667,0.8333,0.0
CosMx PDAC metastasis,context utility detection,Distant control,6,"Abstain, Expression only","borderline preflight, localized exploratory, negative context",0.1667,1.0,0.8333,1.0,0.1667,0.8333,0.0
CosMx PDAC metastasis,context utility detection,Random control,6,"Abstain, Expression only","borderline preflight, localized exploratory, negative context",0.1667,1.0,0.8333,1.0,0.1667,0.8333,0.0
Xenium breast 5K,context utility detection,Spatial stats,5,"Abstain, Expression only, Full context","insufficient evidence, negative context, positive control only",1.0,1.0,0.0,0.2,0.0,1.0,0.2
Xenium breast 5K,context utility detection,ContextGate,5,"Abstain, Expression only, Full context","insufficient evidence, negative context, positive control only",0.88,1.0,0.12,0.0,0.0,1.0,0.4
Xenium breast 5K,context utility detection,CellPack tiny,5,"Abstain, Expression only, Full context","insufficient evidence, negative context, positive control only",0.76,1.0,0.24,0.2,0.0,1.0,0.8
Xenium breast 5K,context utility detection,Expression only,5,"Abstain, Expression only, Full context","insufficient evidence, negative context, positive control only",0.74,1.0,0.26,0.0,0.0,1.0,0.0
Xenium breast 5K,context utility detection,GraphSAGE style,5,"Abstain, Expression only, Full context","insufficient evidence, negative context, positive control only",0.64,1.0,0.36,0.0,0.0,1.0,1.0
Xenium breast 5K,context utility detection,LR/pathway,5,"Abstain, Expression only, Full context","insufficient evidence, negative context, positive control only",0.64,1.0,0.36,0.0,0.0,1.0,1.0
Xenium breast 5K,context utility detection,Always context,5,"Abstain, Expression only, Full context","insufficient evidence, negative context, positive control only",0.24,1.0,0.76,1.0,0.6,0.4,0.0
Xenium breast 5K,context utility detection,Coord. shuffled,5,"Abstain, Expression only, Full context","insufficient evidence, negative context, positive control only",0.24,1.0,0.76,1.0,0.6,0.4,0.0
Xenium breast 5K,context utility detection,Distant control,5,"Abstain, Expression only, Full context","insufficient evidence, negative context, positive control only",0.24,1.0,0.76,1.0,0.6,0.4,0.0
Xenium breast 5K,context utility detection,Random control,5,"Abstain, Expression only, Full context","insufficient evidence, negative context, positive control only",0.24,1.0,0.76,1.0,0.6,0.4,0.0
Xenium breast biomarkers,context utility detection,ContextGate,3,Expression only,negative context,1.0,1.0,0.0,0.0,0.0,1.0,0.0
Xenium breast biomarkers,context utility detection,Expression only,3,Expression only,negative context,1.0,1.0,0.0,0.0,0.0,1.0,0.0
Xenium breast biomarkers,context utility detection,LR/pathway,3,Expression only,negative context,1.0,1.0,0.0,0.0,0.0,1.0,0.0
Xenium breast biomarkers,context utility detection,Spatial stats,3,Expression only,negative context,1.0,1.0,0.0,0.0,0.0,1.0,0.0
Xenium breast biomarkers,context utility detection,CellPack tiny,3,Expression only,negative context,0.6,1.0,0.4,0.0,0.0,1.0,1.0
Xenium breast biomarkers,context utility detection,GraphSAGE style,3,Expression only,negative context,0.6,1.0,0.4,0.0,0.0,1.0,1.0
Xenium breast biomarkers,context utility detection,Always context,3,Expression only,negative context,0.0,1.0,1.0,1.0,1.0,0.0,0.0
Xenium breast biomarkers,context utility detection,Coord. shuffled,3,Expression only,negative context,0.0,1.0,1.0,1.0,1.0,0.0,0.0
Xenium breast biomarkers,context utility detection,Distant control,3,Expression only,negative context,0.0,1.0,1.0,1.0,1.0,0.0,0.0
Xenium breast biomarkers,context utility detection,Random control,3,Expression only,negative context,0.0,1.0,1.0,1.0,1.0,0.0,0.0
