dataset_id,control_level,method_id,method_family,injected_signal_strength,specificity,false_positive_context_rate,abstention_rate,row_count
xenium_breast_biomarkers_v1,fov_or_sample_confounded_signal,coordinate_shuffled_control_model,wrong_context_coordinate_shuffled,0.9,0.0,1.0,0.0,6
xenium_breast_biomarkers_v1,fov_or_sample_confounded_signal,distant_neighbor_control_model,wrong_context_distant_neighbor,0.9,0.0,1.0,0.0,6
xenium_breast_biomarkers_v1,fov_or_sample_confounded_signal,expression_only_linear,expression_only_or_center_only,0.9,1.0,0.0,0.0,6
xenium_breast_biomarkers_v1,fov_or_sample_confounded_signal,ligand_receptor_pathway_heuristic,ligand_receptor_or_pathway_heuristic,0.9,0.0,1.0,0.0,6
xenium_breast_biomarkers_v1,fov_or_sample_confounded_signal,lightweight_graphsage_aggregation,gnn_style_context_aggregation,0.9,0.0,1.0,0.0,6
xenium_breast_biomarkers_v1,fov_or_sample_confounded_signal,random_neighbor_control_model,wrong_context_random_neighbor,0.9,0.0,1.0,0.0,6
xenium_breast_biomarkers_v1,fov_or_sample_confounded_signal,spatial_statistics_heuristic,spatial_statistics_heuristic,0.9,0.0,1.0,0.0,6
xenium_breast_biomarkers_v1,missing_panel_or_target_dropout_signal,always_true_neighbor_mean,always_true_neighbor_context,0.85,0.0,1.0,0.0,6
xenium_breast_biomarkers_v1,missing_panel_or_target_dropout_signal,cellpack_packed_context_tiny,cellpack_packed_context,0.85,0.82,0.0,1.0,6
xenium_breast_biomarkers_v1,missing_panel_or_target_dropout_signal,contextgate_transparent_router,contextgate_transparent_router,0.85,0.94,0.0,1.0,6
xenium_breast_biomarkers_v1,missing_panel_or_target_dropout_signal,coordinate_shuffled_control_model,wrong_context_coordinate_shuffled,0.85,0.0,1.0,0.0,6
xenium_breast_biomarkers_v1,missing_panel_or_target_dropout_signal,distant_neighbor_control_model,wrong_context_distant_neighbor,0.85,0.0,1.0,0.0,6
xenium_breast_biomarkers_v1,missing_panel_or_target_dropout_signal,expression_only_linear,expression_only_or_center_only,0.85,1.0,0.0,0.0,6
xenium_breast_biomarkers_v1,missing_panel_or_target_dropout_signal,ligand_receptor_pathway_heuristic,ligand_receptor_or_pathway_heuristic,0.85,0.96,0.0,1.0,6
xenium_breast_biomarkers_v1,missing_panel_or_target_dropout_signal,lightweight_graphsage_aggregation,gnn_style_context_aggregation,0.85,0.86,0.0,1.0,6
xenium_breast_biomarkers_v1,missing_panel_or_target_dropout_signal,random_neighbor_control_model,wrong_context_random_neighbor,0.85,0.0,1.0,0.0,6
xenium_breast_biomarkers_v1,missing_panel_or_target_dropout_signal,spatial_statistics_heuristic,spatial_statistics_heuristic,0.85,0.84,0.0,1.0,6
xenium_breast_biomarkers_v1,null_no_context_signal,always_true_neighbor_mean,always_true_neighbor_context,0.0,0.0,1.0,0.0,6
xenium_breast_biomarkers_v1,null_no_context_signal,cellpack_packed_context_tiny,cellpack_packed_context,0.0,0.86,0.0,0.0,6
xenium_breast_biomarkers_v1,null_no_context_signal,contextgate_transparent_router,contextgate_transparent_router,0.0,0.98,0.0,0.0,6
xenium_breast_biomarkers_v1,null_no_context_signal,coordinate_shuffled_control_model,wrong_context_coordinate_shuffled,0.0,0.0,1.0,0.0,6
xenium_breast_biomarkers_v1,null_no_context_signal,distant_neighbor_control_model,wrong_context_distant_neighbor,0.0,0.0,1.0,0.0,6
xenium_breast_biomarkers_v1,null_no_context_signal,expression_only_linear,expression_only_or_center_only,0.0,1.0,0.0,0.0,6
xenium_breast_biomarkers_v1,null_no_context_signal,ligand_receptor_pathway_heuristic,ligand_receptor_or_pathway_heuristic,0.0,0.9,0.0,0.0,6
xenium_breast_biomarkers_v1,null_no_context_signal,lightweight_graphsage_aggregation,gnn_style_context_aggregation,0.0,0.88,0.0,0.0,6
xenium_breast_biomarkers_v1,null_no_context_signal,random_neighbor_control_model,wrong_context_random_neighbor,0.0,0.0,1.0,0.0,6
xenium_breast_biomarkers_v1,null_no_context_signal,spatial_statistics_heuristic,spatial_statistics_heuristic,0.0,0.92,0.0,0.0,6
